lexemeID	lexeme	usageID	conceptID	gloss	pos	date	place	def	def-eng	notes	source-date
1	tyikatyika	1	2	dazzling	ideo	1901	Tokyo	強い光が目を刺激するさまを表わす語。また、一般に暗い中に目立つさまをもいう	The feeling of having your eyes stimulated by a strong light, as well as generally standing out in darkness.		仰臥漫録〈正岡子規〉二
1	tyikatyika	2	1	prickling	ideo	1919	Tokyo	小さな刺激がこきざみに連続するさまを表わす語	the state of continuous small irritations or pricking sensations 		或る女〈有島武郎〉前・七
2	hirihiri	1	1	prickling	ideo	1820	Tokyo			interesting semantic changes here; add other usages later	
3	iraira	1	1	prickling	ideo	1406	Kyoto			a reduplication of the word for thorn	
4	serasera	1	1	prickling	ideo	1908	Tokyo				
5	egarai	1	1	prickling	adj	1642	Kyoto				
6	hasyikai	1	1	prickling	adj	1241	Kyoto			related to the noun for measles (hasyika)	
7	kaii	1	1	prickling	adj	1595	Kyoto			kayui is older though	
8	gowagowa	1	1	prickling	ideo	?	Kanagawa				
8	gowagowa	2	3	stiff	ideo	1699	Kyoto	紙、革、布などが、かたくこわばっていて、しなやかでないさま、また、こわばった紙や布などがすれあってたてる音を表わす語。	describes the state of something such as paper, leather, or cloth being stiff, rigid, and not flexible. It can also describe the sound that occurs when stiff paper or cloth rub against each other. 	can even be used as a noun for starch (e.g. コワコワを着て涼しがる, wearing starched clothes is cool)	
9	igaiga	1	1	prickling	ideo	1965	Tokyo				
